File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  parataxis                 | can the bubbles have their lives
  independent               | so one day little tom little tom randomly blow a bubble that
  subordinate_advcl         | and after he made the snake bubble
  coordinated_vp            | he saw
  subordinate_ccomp         | that the snake was very terrible
  subordinate_ccomp         | so he blowed another bubble
  subordinate_acl:relcl     | which is
  subordinate_acl:relcl     | which was a tiger to to to to drive
  subordinate_advcl         | to drive out the snake
  parataxis                 | and as a result the tiger bubble
  subordinate_acl:relcl     | the snake was
  coordinated_vp            | was was driven out by the tiger
  coordinated_vp            | but little tom thought
  subordinate_ccomp         | that the tiger bubble is also scary
  coordinated_vp            | so little tom blow another bubble
  subordinate_acl:relcl     | which was an elephant then elephant
  coordinated_vp            | and then the the elephant drive the tiger off quickly
  parataxis                 | but little tom was still not satisfied with the elephant
  subordinate_advcl         | so he blow a little mouse which
  subordinate_acl:relcl     | which can scare the elephant to to
  subordinate_advcl         | which can scare the elephant
  subordinate_advcl         | and as soon as the elephant saw the mouse
  coordinated_vp            | they ran away
  coordinated_vp            | and the mouse and the mouse chased the chase the elephant
  coordinated_vp            | and both of them ran as far as they can
  subordinate_advcl         | after this tom feel very satisfied
  parataxis                 | but he's tired of these bubbles
  coordinated_vp            | so he pour all these bubble liquid into the ground
  parataxis                 | and left and and went
  coordinated_vp            | and then left
  coordinated_vp            | and went home
  coordinated_vp            | but he didn't know
  subordinate_ccomp         | that the remain bubble liquid automatically create a seahors
  coordinated_vp            | and the seahorse remain in the land for a very long time
File: ALL_023_M_KOR_ENG_ST1.TextGrid
Clauses: 14
  independent               | a blackbird found a hat on the street
  parataxis                 | he likes it
  coordinated_vp            | so he wears the hat
  coordinated_vp            | but sooner or later he meet his friend
  coordinated_vp            | and his friend begin
  nonfinite_xcomp           | to laugh at him
  coordinated_vp            | so blackbird very upset and he threw away his hat
  coordinated_vp            | so his friend white bird pick it up
  coordinated_vp            | and take it to his nest
  parataxis                 | so blackbird is very upset
  coordinated_vp            | and take the hat from him
  coordinated_vp            | and wears it again
  coordinated_vp            | but his friends already laid the eggs of the hat
  parataxis                 | so the baby bird is on blackbird's hat
File: ALL_023_M_KOR_ENG_ST2.TextGrid
Clauses: 9
  independent               | one day a boy plays the bobbers under the tree
  parataxis                 | he can make everything like big snake big cat elephant car a
  independent               | he can make everything
  subordinate_acl:relcl     | that he can imagine
  subordinate_acl           | but it's time to go home
  parataxis                 | he threw
  parataxis                 | he threw it away
  coordinated_vp            | and to go home
  coordinated_vp            | but there is a god of the bobbers in it
File: ALL_025_M_TUR_ENG_ST1.TextGrid
